RINPERSOON,RINPERSOONS,RINPERSOONRELATIE,RINPERSOONSRELATIE,RELATIE
100000008,R,100000005,R,102
100000009,R,100000009,R,102
100000008,R,100000008,R,101
100000004,R,100000009,R,102
100000003,R,100000003,R,102
100000002,R,100000004,R,101
100000002,R,100000002,R,102
100000007,R,100000005,R,101
100000008,R,100000007,R,101
100000000,R,100000003,R,102
100000007,R,100000004,R,102
100000007,R,100000004,R,101
100000002,R,100000004,R,102
100000006,R,100000000,R,101
100000009,R,100000005,R,101
100000000,R,100000006,R,101
100000009,R,100000006,R,102
100000004,R,100000005,R,102
100000005,R,100000002,R,102
100000008,R,100000007,R,102
100000001,R,100000009,R,102
100000000,R,100000009,R,101
100000008,R,100000003,R,102
100000004,R,100000001,R,102
100000009,R,100000002,R,102
100000007,R,100000003,R,101
100000003,R,100000006,R,101
100000004,R,100000004,R,101
100000004,R,100000001,R,101
100000007,R,100000007,R,101
100000008,R,100000009,R,102
100000000,R,100000000,R,102
100000000,R,100000009,R,102
100000005,R,100000005,R,101
100000003,R,100000007,R,102
100000005,R,100000003,R,102
100000006,R,100000008,R,102
100000000,R,100000008,R,102
100000000,R,100000000,R,101
100000004,R,100000007,R,101
100000001,R,100000003,R,101
100000003,R,100000002,R,101
100000002,R,100000001,R,102
100000000,R,100000001,R,102
100000005,R,100000004,R,101
100000002,R,100000007,R,102
100000009,R,100000005,R,102
100000009,R,100000003,R,101
100000008,R,100000008,R,102
100000003,R,100000004,R,102
100000008,R,100000000,R,102
100000005,R,100000006,R,101
100000006,R,100000004,R,101
100000001,R,100000007,R,102
100000003,R,100000004,R,101
100000007,R,100000001,R,102
100000002,R,100000002,R,101
100000006,R,100000008,R,101
100000008,R,100000003,R,101
100000003,R,100000000,R,101
100000004,R,100000008,R,102
100000005,R,100000000,R,101
100000000,R,100000004,R,101
100000001,R,100000008,R,102
100000007,R,100000007,R,102
100000009,R,100000008,R,101
100000002,R,100000001,R,101
100000000,R,100000007,R,101
100000006,R,100000006,R,102
100000004,R,100000000,R,101
100000009,R,100000007,R,102
100000009,R,100000004,R,101
100000001,R,100000008,R,101
100000002,R,100000005,R,101
100000007,R,100000000,R,102
100000001,R,100000006,R,102
100000002,R,100000007,R,101
100000007,R,100000009,R,101
100000008,R,100000009,R,101
100000003,R,100000003,R,101
100000004,R,100000002,R,101
100000001,R,100000009,R,101
100000004,R,100000003,R,102
100000003,R,100000006,R,102
100000002,R,100000003,R,101
100000003,R,100000001,R,101
100000000,R,100000008,R,101
100000003,R,100000002,R,102
100000007,R,100000006,R,102
100000006,R,100000007,R,102
100000004,R,100000000,R,102
100000001,R,100000001,R,102
100000007,R,100000008,R,101
100000003,R,100000009,R,102
100000002,R,100000009,R,101
100000009,R,100000009,R,101
100000000,R,100000003,R,101
100000005,R,100000005,R,102
100000003,R,100000009,R,101
100000008,R,100000005,R,101
