RINPERSOON;RINPERSOONS;RINPERSOONRELATIE;RINPERSOONSRELATIE;RELATIE
100435829;R;100468241;R;201
100486221;R;100219402;R;201
100497736;R;100018065;R;201
100430835;R;100351427;R;201
100061713;R;100414443;R;201
100247401;R;100472064;R;201
100233138;R;100466257;R;201
100324900;R;100056131;R;201
100469909;R;100268565;R;201
100036950;R;100242035;R;201
100438879;R;100363795;R;201
100148412;R;100439896;R;201
100120953;R;100012448;R;201
100079983;R;100466144;R;201
100030752;R;100313116;R;201
100210536;R;100179265;R;201
100279726;R;100049281;R;201
100291988;R;100299207;R;201
100176425;R;100443947;R;201
100120062;R;100362699;R;201
100420029;R;100144223;R;201
100057852;R;100414071;R;201
100473891;R;100244883;R;201
100101490;R;100003983;R;201
100020989;R;100159928;R;201
100209781;R;100227123;R;201
100063418;R;100228997;R;201
100491071;R;100129364;R;201
100400920;R;100091914;R;201
100496831;R;100207803;R;201
100420957;R;100217720;R;201
100043723;R;100355076;R;201
100491445;R;100348733;R;201
100472884;R;100191278;R;201
100273203;R;100223864;R;201
100082357;R;100079717;R;201
100094123;R;100277142;R;201
100009724;R;100286215;R;201
100142662;R;100146541;R;201
100014672;R;100153171;R;201
100213937;R;100469339;R;201
100483151;R;100481903;R;201
100173511;R;100367405;R;201
100346775;R;100213426;R;201
100035428;R;100165068;R;201
100290580;R;100437489;R;201
100301750;R;100493012;R;201
100039920;R;100150879;R;201
100071299;R;100036564;R;201
100083891;R;100419829;R;201
100411720;R;100344153;R;201
100307446;R;100189166;R;201
100149459;R;100270355;R;201
100073728;R;100054441;R;201
100390233;R;100419936;R;201
100299436;R;100114779;R;201
100463267;R;100098966;R;201
100020427;R;100452106;R;201
100258375;R;100496920;R;201
100414290;R;100277553;R;201
100221880;R;100407290;R;201
100477187;R;100161475;R;201
100383676;R;100022922;R;201
100466597;R;100410548;R;201
100054198;R;100300848;R;201
100124488;R;100211549;R;201
100122731;R;100079283;R;201
100468528;R;100064427;R;201
100272338;R;100156064;R;201
100300919;R;100254991;R;201
100242521;R;100074518;R;201
100289189;R;100223404;R;201
100448276;R;100118861;R;201
100439006;R;100194232;R;201
100484248;R;100105464;R;201
100440163;R;100409711;R;201
100406134;R;100427811;R;201
100482956;R;100383516;R;201
100486782;R;100384021;R;201
100350898;R;100397117;R;201
100381121;R;100196887;R;201
100420172;R;100144188;R;201
100219724;R;100435855;R;201
100166384;R;100402731;R;201
100359119;R;100364168;R;201
100452484;R;100004081;R;201
100027536;R;100262995;R;201
100293154;R;100319329;R;201
100291603;R;100254968;R;201
100420220;R;100281862;R;201
100465770;R;100051851;R;201
100477770;R;100419820;R;201
100095482;R;100188154;R;201
100370904;R;100092787;R;201
100400227;R;100444670;R;201
100040605;R;100051613;R;201
100188924;R;100181851;R;201
100345385;R;100181997;R;201
100408481;R;100159791;R;201
100420101;R;100443621;R;201
100086465;R;100435355;R;201
100416114;R;100442499;R;201
100118146;R;100124885;R;201
100446339;R;100281525;R;201
100279697;R;100093370;R;201
100282585;R;100221499;R;201
100114871;R;100171179;R;201
100464993;R;100344314;R;201
100185757;R;100029987;R;201
100422658;R;100135636;R;201
100153973;R;100000819;R;201
100494876;R;100002556;R;201
100166767;R;100111500;R;201
100004845;R;100240000;R;201
100391041;R;100145108;R;201
100230886;R;100390413;R;201
100070386;R;100475162;R;201
100327161;R;100015199;R;201
100437644;R;100326617;R;201
100239209;R;100366865;R;201
100067267;R;100044766;R;201
100266706;R;100295815;R;201
100341275;R;100119499;R;201
100183098;R;100283057;R;201
100030955;R;100120457;R;201
100349791;R;100495593;R;201
100081618;R;100110651;R;201
100417891;R;100418916;R;201
100312010;R;100162460;R;201
100227838;R;100448383;R;201
100159719;R;100210085;R;201
100027257;R;100428580;R;201
100498628;R;100082293;R;201
100138084;R;100284722;R;201
100186225;R;100013304;R;201
100084355;R;100050209;R;201
100024777;R;100094887;R;201
100037073;R;100403956;R;201
100341272;R;100380431;R;201
100331213;R;100004648;R;201
100091757;R;100339739;R;201
100060155;R;100245820;R;201
100251009;R;100315159;R;201
100046774;R;100092616;R;201
100325029;R;100393586;R;201
100361071;R;100368099;R;201
100174743;R;100059463;R;201
100038429;R;100435300;R;201
100134958;R;100088418;R;201
100041690;R;100345389;R;201
100247583;R;100388330;R;201
100204997;R;100392189;R;201
