RINPERSOON,RINPERSOONS,RINPERSOONRELATIE,RINPERSOONSRELATIE,RELATIE
100000007,R,100000003,R,201
100000002,R,100000005,R,201
100000002,R,100000003,R,201
100000008,R,100000003,R,201
100000009,R,100000000,R,201
100000006,R,100000008,R,201
100000000,R,100000004,R,201
100000003,R,100000002,R,201
100000006,R,100000006,R,201
100000000,R,100000007,R,201
100000000,R,100000001,R,201
100000008,R,100000009,R,201
100000002,R,100000009,R,201
100000002,R,100000004,R,201
100000003,R,100000004,R,201
100000002,R,100000007,R,201
100000009,R,100000007,R,201
100000007,R,100000008,R,201
100000007,R,100000004,R,201
100000001,R,100000001,R,201
100000000,R,100000000,R,201
100000003,R,100000003,R,201
100000008,R,100000005,R,201
100000004,R,100000008,R,201
100000000,R,100000002,R,201
100000001,R,100000008,R,201
100000004,R,100000002,R,201
100000007,R,100000007,R,201
100000004,R,100000001,R,201
100000009,R,100000003,R,201
100000000,R,100000003,R,201
100000004,R,100000000,R,201
100000001,R,100000007,R,201
100000006,R,100000007,R,201
100000004,R,100000004,R,201
100000002,R,100000002,R,201
100000009,R,100000008,R,201
100000005,R,100000005,R,201
100000009,R,100000004,R,201
100000004,R,100000007,R,201
100000004,R,100000003,R,201
100000009,R,100000009,R,201
100000007,R,100000005,R,201
100000007,R,100000009,R,201
100000003,R,100000007,R,201
100000005,R,100000006,R,201
100000001,R,100000006,R,201
100000009,R,100000006,R,201
100000008,R,100000007,R,201
100000005,R,100000000,R,201
100000007,R,100000006,R,201
100000001,R,100000003,R,201
100000004,R,100000009,R,201
100000006,R,100000000,R,201
100000007,R,100000001,R,201
100000003,R,100000008,R,201
100000008,R,100000000,R,201
100000008,R,100000008,R,201
100000004,R,100000005,R,201
100000003,R,100000006,R,201
100000003,R,100000009,R,201
100000000,R,100000008,R,201
100000009,R,100000005,R,201
100000005,R,100000003,R,201
100000001,R,100000009,R,201
100000003,R,100000000,R,201
100000007,R,100000000,R,201
100000000,R,100000006,R,201
100000002,R,100000001,R,201
100000005,R,100000004,R,201
100000005,R,100000002,R,201
100000006,R,100000004,R,201
100000003,R,100000001,R,201
100000000,R,100000009,R,201
100000009,R,100000002,R,201
