RINPERSOON;RINPERSOONS;RINPERSOONRELATIE;RINPERSOONSRELATIE;RELATIE
100461484;R;100280202;R;310
100086293;R;100487874;R;311
100448242;R;100314845;R;304
100417891;R;100418916;R;309
100370648;R;100454688;R;322
100183561;R;100132703;R;306
100303648;R;100023325;R;318
100273867;R;100331646;R;317
100096591;R;100330973;R;319
100354361;R;100299111;R;306
100182883;R;100200688;R;304
100271925;R;100078980;R;307
100259020;R;100250121;R;320
100009359;R;100057329;R;308
100324900;R;100056131;R;315
100441898;R;100135030;R;306
100469909;R;100268565;R;307
100013824;R;100367946;R;311
100323714;R;100151666;R;317
100037073;R;100403956;R;303
100416522;R;100034074;R;317
100341072;R;100249706;R;306
100079904;R;100448800;R;303
100427136;R;100204060;R;310
100164610;R;100328861;R;304
100465346;R;100204428;R;318
100331213;R;100004648;R;319
100120953;R;100012448;R;315
100165560;R;100098671;R;310
100011052;R;100047699;R;313
100143651;R;100240478;R;308
100333526;R;100349573;R;304
100215595;R;100013282;R;312
100427225;R;100312931;R;303
100174743;R;100059463;R;312
100291988;R;100299207;R;315
100041690;R;100345389;R;310
100043349;R;100196980;R;306
100201471;R;100405845;R;312
100263038;R;100363975;R;318
100120062;R;100362699;R;320
100331099;R;100441877;R;311
100319335;R;100453352;R;315
100185617;R;100276784;R;306
100473428;R;100394064;R;319
100093807;R;100387539;R;309
100360871;R;100460845;R;311
100491071;R;100129364;R;313
100400920;R;100091914;R;318
100258907;R;100079280;R;310
100497531;R;100390525;R;313
100324695;R;100283073;R;315
100043723;R;100355076;R;320
100236820;R;100337860;R;310
100311891;R;100376905;R;303
100012232;R;100357791;R;311
100175311;R;100013728;R;317
100244175;R;100300302;R;312
100039335;R;100125240;R;308
100447470;R;100059500;R;316
100027867;R;100412069;R;313
100185834;R;100385113;R;309
100353946;R;100473678;R;309
100455786;R;100027428;R;316
100364199;R;100237773;R;316
100389520;R;100268589;R;301
100087582;R;100099502;R;321
100394067;R;100408317;R;301
100039920;R;100150879;R;306
100380163;R;100327864;R;319
100467521;R;100201682;R;318
100492324;R;100163583;R;310
100364447;R;100309407;R;316
100493907;R;100488825;R;305
100071299;R;100036564;R;303
100204004;R;100123520;R;322
100275873;R;100394581;R;304
100157944;R;100387686;R;306
100231047;R;100444498;R;310
100307446;R;100189166;R;301
100461056;R;100413177;R;307
100013704;R;100252541;R;316
100268129;R;100381858;R;311
100337721;R;100045639;R;304
100416973;R;100363781;R;316
100156108;R;100404349;R;303
100318255;R;100483171;R;301
100270436;R;100438335;R;318
100095219;R;100468256;R;307
100089208;R;100395289;R;308
100061761;R;100470988;R;301
100152179;R;100197783;R;312
100442972;R;100050357;R;319
100393316;R;100090791;R;322
100316086;R;100458590;R;304
100248867;R;100180818;R;311
100275801;R;100398319;R;306
100001221;R;100110505;R;319
100311646;R;100106253;R;316
100122426;R;100461968;R;312
100421038;R;100219081;R;304
100038464;R;100284441;R;312
100061302;R;100056517;R;320
