RINPERSOON;RINPERSOONS;RINPERSOONRELATIE;RINPERSOONSRELATIE;RELATIE
100212038;R;100039603;R;401
100497736;R;100018065;R;401
100329843;R;100032329;R;402
100227838;R;100448383;R;402
100080163;R;100292786;R;402
100271925;R;100078980;R;402
100146199;R;100412147;R;401
100220255;R;100324012;R;401
100450110;R;100151396;R;401
100260219;R;100419853;R;402
100340840;R;100312256;R;402
100181658;R;100282135;R;401
100276051;R;100428877;R;401
100104489;R;100341994;R;402
100381094;R;100451374;R;402
100267247;R;100013649;R;402
100046774;R;100092616;R;402
100174743;R;100059463;R;401
100279726;R;100049281;R;402
100291988;R;100299207;R;402
100322953;R;100001435;R;402
100211820;R;100348496;R;402
100043349;R;100196980;R;402
100420029;R;100144223;R;401
100319335;R;100453352;R;401
100369500;R;100390717;R;402
100307033;R;100399001;R;401
100491071;R;100129364;R;402
100071786;R;100200882;R;401
100230108;R;100070848;R;401
100308758;R;100275697;R;402
100369668;R;100123296;R;401
100467760;R;100032444;R;401
100136968;R;100194791;R;401
100173511;R;100367405;R;402
100221337;R;100159630;R;401
100066589;R;100348886;R;402
100076723;R;100392857;R;402
100284180;R;100424534;R;402
100062729;R;100059707;R;402
100480530;R;100208879;R;402
100313259;R;100092810;R;402
100295518;R;100037990;R;401
100307446;R;100189166;R;401
100099435;R;100148772;R;401
100243238;R;100474757;R;401
100416973;R;100363781;R;402
100129018;R;100039538;R;402
100243215;R;100283598;R;401
100129858;R;100449464;R;402
100490742;R;100219102;R;401
100483933;R;100480424;R;401
100217712;R;100475509;R;402
100445678;R;100088583;R;401
100314961;R;100212545;R;402
100124488;R;100211549;R;402
100289486;R;100117811;R;401
100308922;R;100004090;R;401
100008901;R;100408895;R;401
100172479;R;100408384;R;402
100107697;R;100330110;R;402
100076440;R;100434840;R;401
100378805;R;100382024;R;401
100305791;R;100182616;R;401
100371783;R;100347463;R;401
100103709;R;100036342;R;402
100025353;R;100251099;R;402
100138498;R;100473899;R;401
100256344;R;100253468;R;402
100447762;R;100059202;R;402
100335399;R;100263332;R;401
100058530;R;100332370;R;401
100385249;R;100356549;R;402
100459018;R;100332515;R;402
100489109;R;100324644;R;402
100315628;R;100163795;R;402
100111204;R;100069919;R;401
100143455;R;100011063;R;402
100440528;R;100432451;R;402
100235866;R;100441827;R;402
100280965;R;100457883;R;402
100099812;R;100297495;R;402
100438001;R;100461589;R;402
100476160;R;100479156;R;401
100458570;R;100486149;R;402
100272240;R;100494142;R;401
100455998;R;100358442;R;402
100167433;R;100016723;R;401
100438764;R;100161817;R;401
100033394;R;100433697;R;401
100145931;R;100089953;R;402
100067674;R;100156678;R;401
100037285;R;100220347;R;401
100029893;R;100321173;R;401
100461462;R;100259893;R;401
100119444;R;100499147;R;402
100160435;R;100196718;R;402
100034088;R;100297580;R;402
100374843;R;100328734;R;401
100362986;R;100249698;R;402
100059855;R;100420841;R;401
100052677;R;100494194;R;401
100219887;R;100319755;R;402
100478232;R;100173991;R;401
100143252;R;100302583;R;402
100365239;R;100038834;R;402
100343292;R;100274223;R;402
100014707;R;100416373;R;401
100182045;R;100209457;R;401
100007228;R;100054334;R;402
100155602;R;100075378;R;402
100393347;R;100070406;R;402
100484633;R;100194366;R;402
100183294;R;100148173;R;401
100289096;R;100248899;R;402
100349079;R;100129727;R;401
100202143;R;100491499;R;401
100136202;R;100359629;R;402
100355398;R;100120363;R;401
100042113;R;100151033;R;401
