RINPERSOON,RINPERSOONS,RINPERSOONRELATIE,RINPERSOONSRELATIE,RELATIE
100000002,R,100000001,R,401
100000003,R,100000007,R,402
100000007,R,100000009,R,401
100000002,R,100000001,R,402
100000006,R,100000007,R,402
100000002,R,100000002,R,401
100000004,R,100000004,R,401
100000007,R,100000007,R,401
100000009,R,100000005,R,401
100000001,R,100000008,R,402
100000004,R,100000002,R,401
100000002,R,100000009,R,401
100000003,R,100000009,R,401
100000002,R,100000007,R,401
100000000,R,100000000,R,402
100000009,R,100000008,R,401
100000004,R,100000005,R,401
100000001,R,100000007,R,402
100000001,R,100000001,R,402
100000004,R,100000000,R,402
100000003,R,100000000,R,401
100000008,R,100000000,R,402
100000008,R,100000008,R,402
100000003,R,100000008,R,401
100000002,R,100000003,R,401
100000006,R,100000008,R,402
100000000,R,100000003,R,402
100000008,R,100000003,R,401
100000005,R,100000002,R,402
100000007,R,100000001,R,402
100000007,R,100000004,R,402
100000005,R,100000003,R,402
100000008,R,100000009,R,401
100000009,R,100000007,R,402
100000003,R,100000001,R,402
100000004,R,100000008,R,402
100000008,R,100000005,R,402
100000003,R,100000002,R,401
100000009,R,100000009,R,402
100000003,R,100000006,R,402
100000004,R,100000003,R,402
100000004,R,100000001,R,401
100000008,R,100000009,R,402
100000005,R,100000005,R,401
100000000,R,100000009,R,401
100000009,R,100000003,R,401
100000003,R,100000009,R,402
100000002,R,100000004,R,401
100000008,R,100000008,R,401
100000000,R,100000004,R,401
100000003,R,100000004,R,402
100000003,R,100000006,R,401
100000000,R,100000007,R,401
100000003,R,100000003,R,402
100000000,R,100000003,R,401
100000001,R,100000009,R,401
100000007,R,100000006,R,402
100000000,R,100000006,R,401
100000006,R,100000000,R,401
100000009,R,100000005,R,402
100000003,R,100000002,R,402
100000005,R,100000000,R,401
100000009,R,100000009,R,401
100000002,R,100000002,R,402
100000004,R,100000005,R,402
100000006,R,100000004,R,401
100000007,R,100000005,R,401
100000008,R,100000007,R,402
100000009,R,100000006,R,402
100000001,R,100000003,R,401
100000004,R,100000000,R,401
100000003,R,100000001,R,401
100000009,R,100000004,R,401
100000000,R,100000002,R,402
100000000,R,100000008,R,402
100000003,R,100000003,R,401
100000005,R,100000004,R,401
100000009,R,100000002,R,402
100000005,R,100000005,R,402
100000007,R,100000000,R,402
100000002,R,100000005,R,402
100000006,R,100000008,R,401
100000000,R,100000001,R,402
100000006,R,100000006,R,402
100000007,R,100000008,R,401
100000007,R,100000004,R,401
100000001,R,100000008,R,401
100000001,R,100000006,R,402
100000002,R,100000007,R,402
100000000,R,100000009,R,402
100000001,R,100000009,R,402
100000008,R,100000005,R,401
100000008,R,100000007,R,401
100000007,R,100000007,R,402
100000003,R,100000004,R,401
100000002,R,100000004,R,402
100000004,R,100000001,R,402
100000000,R,100000000,R,401
100000002,R,100000005,R,401
100000008,R,100000003,R,402
