RINPERSOON;RINPERSOONS;RINPERSOONRELATIE;RINPERSOONSRELATIE;RELATIE
100461484;R;100280202;R;505
100152315;R;100403741;R;501
100304137;R;100105630;R;502
100370775;R;100428565;R;506
100220760;R;100161374;R;501
100071557;R;100263148;R;503
100484084;R;100380628;R;505
100247401;R;100472064;R;502
100086904;R;100047708;R;506
100047883;R;100203724;R;501
100027257;R;100428580;R;501
100012372;R;100141778;R;506
100259020;R;100250121;R;506
100266062;R;100304304;R;503
100024777;R;100094887;R;501
100259978;R;100346653;R;502
100234907;R;100202188;R;501
100340840;R;100312256;R;501
100354792;R;100353589;R;504
100259952;R;100207645;R;502
100465346;R;100204428;R;503
100316412;R;100012837;R;502
100146660;R;100436114;R;505
100120953;R;100012448;R;503
100043295;R;100490356;R;504
100074253;R;100392296;R;504
100410191;R;100321508;R;506
100104489;R;100341994;R;502
100079983;R;100466144;R;501
100225273;R;100116564;R;502
100035050;R;100327067;R;504
100317414;R;100190423;R;502
100143651;R;100240478;R;502
100373758;R;100287097;R;504
100351243;R;100290036;R;504
100290795;R;100464636;R;502
100147069;R;100433057;R;502
100348115;R;100473025;R;504
100463155;R;100027137;R;504
100291988;R;100299207;R;502
100084917;R;100274073;R;502
100343619;R;100019021;R;504
100113417;R;100316281;R;501
100136253;R;100268864;R;505
100173986;R;100461920;R;503
100263038;R;100363975;R;504
100423358;R;100491292;R;502
100042521;R;100021634;R;502
100480285;R;100378860;R;502
100237714;R;100019169;R;505
100473428;R;100394064;R;502
100153669;R;100400856;R;501
100360871;R;100460845;R;506
100099271;R;100326405;R;506
100447571;R;100279287;R;502
100258249;R;100247100;R;502
100304323;R;100091550;R;502
100025907;R;100268091;R;506
100176264;R;100107662;R;504
100324695;R;100283073;R;501
100141172;R;100068514;R;502
100322487;R;100251421;R;502
100473920;R;100284723;R;502
100208654;R;100162170;R;502
100402716;R;100198929;R;501
100229330;R;100461112;R;506
100052548;R;100272544;R;501
100244175;R;100300302;R;502
100183213;R;100397483;R;504
100027867;R;100412069;R;503
100331578;R;100441464;R;504
100197549;R;100414746;R;504
100014672;R;100153171;R;503
100318764;R;100327060;R;502
100483151;R;100481903;R;506
100285905;R;100487006;R;502
100052280;R;100448895;R;501
100290580;R;100437489;R;501
100045463;R;100004966;R;501
100066589;R;100348886;R;502
100330345;R;100379414;R;501
100301750;R;100493012;R;505
100122741;R;100214656;R;502
100467521;R;100201682;R;503
100014705;R;100296418;R;502
100217895;R;100146992;R;502
100053251;R;100194070;R;505
100333026;R;100159975;R;506
100496296;R;100015708;R;502
100056132;R;100472608;R;502
100314691;R;100209011;R;505
100274053;R;100097469;R;501
100363867;R;100221238;R;501
100145353;R;100355454;R;504
100068219;R;100185150;R;501
100028954;R;100057446;R;502
100337721;R;100045639;R;502
100459127;R;100325526;R;501
100228868;R;100347975;R;503
100009630;R;100008527;R;502
100359398;R;100029951;R;502
100318255;R;100483171;R;501
100309417;R;100071685;R;505
100414290;R;100277553;R;504
