RINPERSOON,RINPERSOONS,RINPERSOONRELATIE,RINPERSOONSRELATIE,RELATIE
100000004,R,100000008,R,504
100000005,R,100000004,R,502
100000002,R,100000001,R,503
100000006,R,100000006,R,506
100000003,R,100000002,R,505
100000000,R,100000003,R,502
100000003,R,100000000,R,504
100000009,R,100000008,R,502
100000009,R,100000005,R,501
100000006,R,100000008,R,506
100000001,R,100000001,R,501
100000001,R,100000007,R,501
100000005,R,100000003,R,501
100000005,R,100000003,R,506
100000006,R,100000008,R,505
100000004,R,100000003,R,506
100000003,R,100000003,R,501
100000003,R,100000002,R,503
100000003,R,100000006,R,503
100000009,R,100000008,R,501
100000008,R,100000008,R,504
100000002,R,100000009,R,504
100000009,R,100000000,R,505
100000009,R,100000002,R,502
100000006,R,100000004,R,502
100000008,R,100000007,R,505
100000002,R,100000007,R,501
100000005,R,100000005,R,505
100000007,R,100000008,R,504
100000003,R,100000001,R,506
100000001,R,100000008,R,502
100000009,R,100000007,R,503
100000003,R,100000006,R,505
100000002,R,100000007,R,506
100000001,R,100000006,R,502
100000009,R,100000003,R,505
100000004,R,100000000,R,501
100000000,R,100000008,R,502
100000003,R,100000009,R,504
100000007,R,100000004,R,505
100000002,R,100000005,R,501
100000001,R,100000009,R,504
100000002,R,100000001,R,504
100000004,R,100000001,R,504
100000002,R,100000001,R,501
100000003,R,100000009,R,505
100000000,R,100000000,R,505
100000007,R,100000007,R,506
100000009,R,100000009,R,503
100000007,R,100000005,R,505
100000000,R,100000001,R,501
100000003,R,100000001,R,503
100000006,R,100000007,R,503
100000003,R,100000006,R,502
100000008,R,100000003,R,501
100000001,R,100000008,R,503
100000008,R,100000007,R,503
100000002,R,100000003,R,503
100000000,R,100000009,R,506
100000008,R,100000009,R,505
100000004,R,100000007,R,501
100000002,R,100000005,R,505
100000007,R,100000007,R,505
100000004,R,100000001,R,506
100000001,R,100000003,R,502
100000006,R,100000000,R,503
100000000,R,100000004,R,502
100000000,R,100000007,R,505
100000000,R,100000000,R,501
100000009,R,100000007,R,506
100000007,R,100000003,R,504
100000000,R,100000009,R,503
100000008,R,100000008,R,505
100000008,R,100000005,R,506
100000008,R,100000009,R,502
100000003,R,100000004,R,501
100000004,R,100000000,R,502
100000004,R,100000005,R,506
100000008,R,100000000,R,502
100000002,R,100000004,R,505
100000002,R,100000002,R,503
100000008,R,100000008,R,506
100000007,R,100000000,R,504
100000003,R,100000001,R,502
100000004,R,100000004,R,502
100000004,R,100000005,R,505
100000004,R,100000001,R,505
100000000,R,100000008,R,504
100000005,R,100000006,R,503
100000003,R,100000006,R,504
100000008,R,100000009,R,501
100000001,R,100000009,R,502
100000009,R,100000006,R,504
100000003,R,100000008,R,504
100000003,R,100000007,R,502
100000008,R,100000003,R,503
100000004,R,100000007,R,502
100000004,R,100000009,R,504
100000002,R,100000005,R,503
100000009,R,100000009,R,501
